ma_number	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/11/702/001	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT			2025-12-04
EU/1/11/702/002	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT			2025-12-04
EU/1/11/702/003	19102504	levetiracetam 100 MG/ML Oral Solution	403884	EXACT			2025-12-04
EU/1/11/702/004	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2025-12-04
EU/1/11/702/005	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2025-12-04
EU/1/11/702/006	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2025-12-04
EU/1/11/702/007	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2025-12-04
EU/1/11/702/008	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2025-12-04
EU/1/11/702/009	711588	levetiracetam 250 MG Oral Tablet	311288	EXACT			2025-12-04
EU/1/11/702/010	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2025-12-04
EU/1/11/702/011	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2025-12-04
EU/1/11/702/012	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2025-12-04
EU/1/11/702/013	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2025-12-04
EU/1/11/702/014	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2025-12-04
EU/1/11/702/015	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2025-12-04
EU/1/11/702/016	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2025-12-04
EU/1/11/702/017	711589	levetiracetam 500 MG Oral Tablet	311289	EXACT			2025-12-04
EU/1/11/702/018	19078781	levetiracetam 750 MG Oral Tablet	311290	EXACT			2025-12-04
EU/1/11/702/019	19078781	levetiracetam 750 MG Oral Tablet	311290	EXACT			2025-12-04
EU/1/11/702/020	19078781	levetiracetam 750 MG Oral Tablet	311290	EXACT			2025-12-04
EU/1/11/702/021	19078781	levetiracetam 750 MG Oral Tablet	311290	EXACT			2025-12-04
EU/1/11/702/022	19078781	levetiracetam 750 MG Oral Tablet	311290	EXACT			2025-12-04
EU/1/11/702/023	19078781	levetiracetam 750 MG Oral Tablet	311290	EXACT			2025-12-04
EU/1/11/702/024	19078781	levetiracetam 750 MG Oral Tablet	311290	EXACT			2025-12-04
EU/1/11/702/025	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2025-12-04
EU/1/11/702/026	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2025-12-04
EU/1/11/702/027	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2025-12-04
EU/1/11/702/028	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2025-12-04
EU/1/11/702/029	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2025-12-04
EU/1/11/702/030	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2025-12-04
EU/1/11/702/031	19101553	levetiracetam 1000 MG Oral Tablet	387003	EXACT			2025-12-04
