ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/15/1063/001	EMEA/H/C/004109	25 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	4 ml 1 vial		armisarte	Armisarte	EU/1/15/1063	pemetrexed diacid monohydrate	pemetrexed	L01BA04	Actavis Group PTC ehf	https://www.ema.europa.eu/en/medicines/human/EPAR/armisarte	Authorised
EU/1/15/1063/002	EMEA/H/C/004109	25 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	20 ml 1 vial		armisarte	Armisarte	EU/1/15/1063	pemetrexed diacid monohydrate	pemetrexed	L01BA04	Actavis Group PTC ehf	https://www.ema.europa.eu/en/medicines/human/EPAR/armisarte	Authorised
EU/1/15/1063/003	EMEA/H/C/004109	25 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	40 ml 1 vial		armisarte	Armisarte	EU/1/15/1063	pemetrexed diacid monohydrate	pemetrexed	L01BA04	Actavis Group PTC ehf	https://www.ema.europa.eu/en/medicines/human/EPAR/armisarte	Authorised
EU/1/15/1063/004	EMEA/H/C/004109	25 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	34 ml 1 vial		armisarte	Armisarte	EU/1/15/1063	pemetrexed diacid monohydrate	pemetrexed	L01BA04	Actavis Group PTC ehf	https://www.ema.europa.eu/en/medicines/human/EPAR/armisarte	Authorised
