product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/17/1262/001	36809256	1 ML burosumab 10 MG/ML Injectable Solution	OMOP4823294				
EU/1/17/1262/002	36809228	1 ML burosumab 20 MG/ML Injectable Solution	OMOP4823266				
EU/1/17/1262/003	36809278	1 ML burosumab 30 MG/ML Injectable Solution	OMOP4823316				
