ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/08/460/001	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)	14 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/002	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)	28 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/003	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	Oral use	bdlister (Aclar/PVC)	56 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/004	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	Oral use sblister	eblister (Aclar/PVC)	84 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/005	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	Oral use	(Aclar/PVC)	98 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/006	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	rblister Oral use	(Aclar/PVC)	168 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/007	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)	196 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/008	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	Oral uste	blister (Aclar/PVC)	49 x 1 tablets (unit dose)		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/009	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (alu/alu)	14 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/010	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	Oral use rOral	blister (alu/alu)	28 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/011	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	use	blister (alu/alu)	56 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/012	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)	196 (2 x 98) tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/013	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release tablnet	Oral use	blister (alu/alu)	168 tablets		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
EU/1/08/460/014	EMEA/H/C/000903	1000 mg / 20 mg	Modified-release toablet	Oral use	blister (alu/alu)	32 x 1 tablets (unit dose)		pelzont	Pelzont	EU/1/08/460	laropiprant;nicotinic acid	laropiprant;nicotinic acid	C10AD52	Merck Sharp  Dohme Ltd	https://www.ema.europa.eu/en/medicines/human/EPAR/pelzont	Withdrawn
