ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/11/680/001	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		7 tablets	Riprazo HCT
EU/1/11/680/002	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		14 tablets	Riprazo HCT
EU/1/11/680/003	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		28 tablets	Riprazo HCT
EU/1/11/680/004	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		30 tablets	Riprazo HCT
EU/1/11/680/005	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		50 tablets	Riprazo HCT
EU/1/11/680/006	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		56 tablets	Riprazo HCT
EU/1/11/680/007	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		90 (3 x 30) tablets (multipack)	Riprazo HCT
EU/1/11/680/008	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		98 (2 x 49) tablets (multipack)	Riprazo HCT
EU/1/11/680/009	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		280 (20 x 14) tablets (multipack)	Riprazo HCT
EU/1/11/680/010	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		7 tablets	Riprazo HCT
EU/1/11/680/011	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		14 tablets	Riprazo HCT
EU/1/11/680/012	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		28 tablets	Riprazo HCT
EU/1/11/680/013	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		30 tablets	Riprazo HCT
EU/1/11/680/014	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		50 tablets	Riprazo HCT
EU/1/11/680/015	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		56 tablets	Riprazo HCT
EU/1/11/680/016	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		56 x 1 tablets	Riprazo HCT
EU/1/11/680/017	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		90 tablets	Riprazo HCT
EU/1/11/680/018	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		98 tablets	Riprazo HCT
EU/1/11/680/019	EMEA/H/C/002420	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		98 (2 x 49 x 1) tablets (multipack)	Riprazo HCT
