codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
047624010	047624	BESREMI	250 MCG/0,5 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - CARTUCCIA (VETRO) IN PENNA PRERIEMPITA - 0,5 ML - 1 PENNA PRERIEMPITA + 2 AGHI	ROPEGINTERFERONE ALFA-2B	ROPEGINTERFERONE ALFA-2B	250	microgrammi	Soluzione iniettabile	L03AB15	AOP ORPHAN PHARMACEUTICALS gmbh	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047624022	047624	BESREMI	500 MCG/0,5 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - CARTUCCIA (VETRO) IN PENNA PRERIEMPITA - 0,5 ML - 1 PENNA PRERIEMPITA + 2 AGHI	ROPEGINTERFERONE ALFA-2B	ROPEGINTERFERONE ALFA-2B	500	microgrammi	Soluzione iniettabile	L03AB15	AOP ORPHAN PHARMACEUTICALS gmbh	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047624034	047624	BESREMI	250 ?g / 0,5 ml - Soluzione iniettabile - Uso sottocutaneo - cartuccia (vetro) in penna preriempita 0,5 ml - 3 penne preriempite + 6 aghi	ROPEGINTERFERONE ALFA-2B	ROPEGINTERFERONE ALFA-2B	250	microgrammi	Soluzione iniettabile	L03AB15	AOP ORPHAN PHARMACEUTICALS gmbh	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
