ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/03/248/001	EMEA/H/C/000475	5 mg	Film-coated tablet	Oral use	blister (PP/Alu)	2 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/002	EMEA/H/C/000475	5 mg	Film-coated tablet	Oral use	blister (PP/Alu)	4 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/003	EMEA/H/C/000475	5 mg	Film-coated tablet	Oral use	blister (PP/Alu)	8 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/004	EMEA/H/C/000475	5 mg	Film-coated tablet	Oral use	blister (PP/Alu)	12 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/005	EMEA/H/C/000475	10 mg	Film-coated tablet	Oral use	blister (PP/Alu)	2 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/006	EMEA/H/C/000475	10 mg	Film-coated tablet	Oral use	blister (PP/Alu)	4 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/007	EMEA/H/C/000475	10 mg	Film-coated tablet	Oral use	blister (PP/Alu)	8 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/008	EMEA/H/C/000475	10 mg	Film-coated tablet	Oral use	blister (PP/Alu)	12 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/009	EMEA/H/C/000475	20 mg	Film-coated tablet	Oral use	blister (PP/Alu)	2 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/010	EMEA/H/C/000475	20 mg	Film-coated tablet	Oral use	blister (PP/Alu)	4 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/011	EMEA/H/C/000475	20 mg	Film-coated tablet	Oral use	blister (PP/Alu)	8 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/012	EMEA/H/C/000475	20 mg	Film-coated tablet	Oral use	blister (PP/Alu)	12 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/013	EMEA/H/C/000475	10 mg	Orodispersible tablet	Oral use	blister (alu/alu)	1 x 1 tablet (unit dose)		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/014	EMEA/H/C/000475	10 mg	Orodispersible tablet	Oral use	blister (alu/alu)	2 x 1 tablets (unit dose)		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/015	EMEA/H/C/000475	10 mg	Orodispersible tablet	Oral use	blister (alu/alu)	4 x 1 tablets (unit dose)		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/016	EMEA/H/C/000475	10 mg	Orodispersible tablet	Oral use	blister (alu/alu)	8 x 1 tablets (unit dose)		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/021	EMEA/H/C/000475	5 mg	Film-coated tablet	Oral use	blister (PP/Alu)	20 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/022	EMEA/H/C/000475	10 mg	Film-coated tablet	Oral use	blister (PP/Alu)	20 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
EU/1/03/248/023	EMEA/H/C/000475	20 mg	Film-coated tablet	Oral use 1	blister (PP/Alu)	20 tablets		levitra	Levitra	EU/1/03/248	vardenafil	vardenafil	G04BE09	Bayer AG 	https://www.ema.europa.eu/en/medicines/human/EPAR/levitra	Authorised
