ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/09/558/001	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	blister (OPA/Alu/PVC	- Alu) 7 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/002	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	blister (OPA/Alu/PVC	- Alu) 14 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/003	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	blister (OPA/Alu/PVC	- Alu) 28 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/004	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	blister (OPA/Alu/PVC	- Alu) 30 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/005	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	blister (OPA/Alu/PVC	- Alu) 50 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/006	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	blister (OPA/Alu/PVC	- Alu) 56 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/007	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	blister (OPA/Alu/PVC	- Alu) 60 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/008	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	blister (OPA/Alu/PVC	- Alu) 84 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/009	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	blister (OPA/Alu/PVC	- Alu) 90 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/010	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	blister (OPA/Alu/PVC	- Alu) 100 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/011	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	bottle (HDPE)	30 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
EU/1/09/558/012	EMEA/H/C/001138	75 mg	Film-coated tablet	Oral use	bottle (HDPE)	500 tablets		clopidogrel-bgr	Clopidogrel BGR	EU/1/09/558	clopidogrel (as hydrogen sulfate)	clopidogrel	B01AC03	Biogaran	https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-bgr	Authorised
