ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/25/1965/001	EMEA/H/C/006761	40 mg/ml	Solution for injection	Intravitreal use	vial (glass)	0.1 ml	1 vial + 1 filter needle	Afiveg
EU/1/25/1965/002	EMEA/H/C/006761	40 mg/ml	Solution for injection	Intravitreal use	pre-filled syringe (glass)	0.09 ml	1 pre-filled syringe	Afiveg
