ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/14/945/001	EMEA/H/C/003791	140 mg	Capsule, hard	Oral use	bottle (HDPE)		90 capsules	Imbruvica
EU/1/14/945/002	EMEA/H/C/003791	140 mg	Capsule, hard	Oral use	bottle (HDPE)		120 capsules	Imbruvica
EU/1/14/945/005	EMEA/H/C/003791	420 mg	Film-coated tablet	Oral use	blister (PVC/PCTFE/alu)		30 x 1 tablets (unit dose)	Imbruvica
EU/1/14/945/006	EMEA/H/C/003791	560 mg	Film-coated tablet	Oral use	blister (PVC/PCTFE/alu)		30 x 1 tablets (unit dose)	Imbruvica
EU/1/14/945/007	EMEA/H/C/003791	140 mg	Film-coated tablet	Oral use	blister (PVC/PCTFE/alu)		28 x 1 tablets (unit dose)	Imbruvica
EU/1/14/945/008	EMEA/H/C/003791	140 mg	Film-coated tablet	Oral use	blister (PVC/PCTFE/alu)		30 x 1 tablets (unit dose)	Imbruvica
EU/1/14/945/009	EMEA/H/C/003791	280 mg	Film-coated tablet	Oral use	blister (PVC/PCTFE/alu)		28 x 1 tablets (unit dose)	Imbruvica
EU/1/14/945/010	EMEA/H/C/003791	280 mg	Film-coated tablet	Oral use	blister (PVC/PCTFE/alu)		30 x 1 tablets (unit dose)	Imbruvica
EU/1/14/945/011	EMEA/H/C/003791	420 mg	Film-coated tablet	Oral use	blister (PVC/PCTFE/alu)		28 x 1 tablets (unit dose)	Imbruvica
EU/1/14/945/012	EMEA/H/C/003791	560 mg	Film-coated tablet	Oral use	blister (PVC/PCTFE/alu)		28 x 1 tablets (unit dose)	Imbruvica
