ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/08/441/001	EMEA/H/C/000833	100 micrograms	Buccal tablet	Oromucosal use	Blister (PVC/alu/polyamid/PVC)		4 tablets	Effentora
EU/1/08/441/002	EMEA/H/C/000833	100 micrograms	Buccal tablet	Oromucosal use	Blister (PVC/alu/polyamid/PVC)		28 tablets	Effentora
EU/1/08/441/003	EMEA/H/C/000833	200 micrograms	Buccal tablet	Oromucosal use	Blister (PVC/alu/polyamid/PVC)		4 tablets	Effentora
EU/1/08/441/004	EMEA/H/C/000833	200 micrograms	Buccal tablet	Oromucosal use	Blister (PVC/alu/polyamid/PVC)		28 tablets	Effentora
EU/1/08/441/005	EMEA/H/C/000833	400 micrograms	Buccal tablet	Oromucosal use	Blister (PVC/alu/polyamid/PVC)		4 tablets	Effentora
EU/1/08/441/006	EMEA/H/C/000833	400 micrograms	Buccal tablet	Oromucosal use	Blister (PVC/alu/polyamid/PVC)		28 tablets	Effentora
EU/1/08/441/007	EMEA/H/C/000833	600 micrograms	Buccal tablet	Oromucosal use	Blister (PVC/alu/polyamid/PVC)		4 tablets	Effentora
EU/1/08/441/008	EMEA/H/C/000833	600 micrograms	Buccal tablet	Oromucosal use	Blister (PVC/alu/polyamid/PVC)		28 tablets	Effentora
EU/1/08/441/009	EMEA/H/C/000833	800 micrograms	Buccal tablet	Oromucosal use	Blister (PVC/alu/polyamid/PVC)		4 tablets	Effentora
EU/1/08/441/010	EMEA/H/C/000833	800 micrograms	Buccal tablet	Oromucosal use	Blister (PVC/alu/polyamid/PVC)		28 tablets	Effentora
