codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
050995012	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995024	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995036	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995048	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995051	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995063	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995075	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995087	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995099	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995101	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995113	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995125	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995137	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995149	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995152	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995164	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995176	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995188	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995190	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995202	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995214	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995226	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995238	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995240	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050995253	050995	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997016	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997028	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997030	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997042	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997055	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997067	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997079	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997081	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997093	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997105	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997117	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997129	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997131	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997143	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997156	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997168	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997170	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997182	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997194	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997206	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997218	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997220	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997232	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997244	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
050997257	050997	741726	gadopiclenol	2618720	EXACT	auto-linked from EMA 005626		2026-06-12
