ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/20/1439/001	EMEA/H/C/005067	125 µg / 62.5 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		10 x 1 capsule (unit dose) + 1 inhaler	Atectura Breezhaler
EU/1/20/1439/002	EMEA/H/C/005067	125 µg / 62.5 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		30 x 1 capsule (unit dose) + 1 inhaler	Atectura Breezhaler
EU/1/20/1439/003	EMEA/H/C/005067	125 µg / 62.5 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		90 (3 x 30 x 1) capsules (unit dose) (multipack) + 3 inhalers	Atectura Breezhaler
EU/1/20/1439/004	EMEA/H/C/005067	125 µg / 62.5 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		150 (15 x 10 x 1) capsules (unit dose) (multipack) + 15 inhalers	Atectura Breezhaler
EU/1/20/1439/005	EMEA/H/C/005067	125 µg / 127.5 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		10 x 1 capsule (unit dose) + 1 inhaler	Atectura Breezhaler
EU/1/20/1439/006	EMEA/H/C/005067	125 µg / 127.5 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		30 x 1 capsule (unit dose) + 1 inhaler	Atectura Breezhaler
EU/1/20/1439/007	EMEA/H/C/005067	125 µg / 127.5 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		90 (3 x 30 x 1) capsules (unit dose) (multipack) + 3 inhalers	Atectura Breezhaler
EU/1/20/1439/008	EMEA/H/C/005067	125 µg / 127.5 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		150 (15 x 10 x 1) capsules (unit dose) (multipack) + 15 inhalers	Atectura Breezhaler
EU/1/20/1439/009	EMEA/H/C/005067	125 µg / 260 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		10 x 1 capsule (unit dose) + 1 inhaler	Atectura Breezhaler
EU/1/20/1439/010	EMEA/H/C/005067	125 µg / 260 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		30 x 1 capsule (unit dose) + 1 inhaler	Atectura Breezhaler
EU/1/20/1439/011	EMEA/H/C/005067	125 µg / 260 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		90 (3 x 30 x 1) capsules (unit dose) (multipack) + 3 inhalers	Atectura Breezhaler
EU/1/20/1439/012	EMEA/H/C/005067	125 µg / 260 µg	Inhalation powder, hard capsule	Inhalation use	blister (PA/Alu/PVC - Alu)		150 (15 x 10 x 1) capsules (unit dose) (multipack) + 15 inhalers	Atectura Breezhaler
