ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/00/132/001	EMEA/H/C/000329	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	1 vial + 1 ampoule	ViraferonPeg
EU/1/00/132/002	EMEA/H/C/000329	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	1 vial + 1 ampoule + 1 injection set	ViraferonPeg
EU/1/00/132/003	EMEA/H/C/000329	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	4 vials + 4 ampoules	ViraferonPeg
EU/1/00/132/004	EMEA/H/C/000329	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	4 vials + 4 ampoules + 4 injection sets	ViraferonPeg
EU/1/00/132/005	EMEA/H/C/000329	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	6 vials + 6 ampoules	ViraferonPeg
EU/1/00/132/006	EMEA/H/C/000329	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	1 vial + 1 ampoule	ViraferonPeg
EU/1/00/132/007	EMEA/H/C/000329	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	1 vial + 1 ampoule + 1 injection set	ViraferonPeg
EU/1/00/132/008	EMEA/H/C/000329	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	4 vials + 4 ampoules	ViraferonPeg
EU/1/00/132/009	EMEA/H/C/000329	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	4 vials + 4 ampoules + 4 injection sets	ViraferonPeg
EU/1/00/132/010	EMEA/H/C/000329	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	6 vials + 6 ampoules	ViraferonPeg
EU/1/00/132/011	EMEA/H/C/000329	100 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (100 μg/0.5 ml)	1 vial + 1 ampoule	ViraferonPeg
EU/1/00/132/012	EMEA/H/C/000329	100 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (100 μg/0.5 ml)	1 vial + 1 ampoule + 1 injection set	ViraferonPeg
EU/1/00/132/013	EMEA/H/C/000329	100 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (100 μg/0.5 ml)	4 vials + 4 ampoules	ViraferonPeg
EU/1/00/132/014	EMEA/H/C/000329	100 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (100 μg/0.5 ml)	4 vials + 4 ampoules + 4 injection sets	ViraferonPeg
EU/1/00/132/015	EMEA/H/C/000329	100 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (100 μg/0.5 ml)	6 vials + 6 ampoules	ViraferonPeg
EU/1/00/132/016	EMEA/H/C/000329	120 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (120 μg/0.5 ml)	1 vial + 1 ampoule	ViraferonPeg
EU/1/00/132/017	EMEA/H/C/000329	120 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (120 μg/0.5 ml)	1 vial + 1 ampoule + 1 injection set	ViraferonPeg
EU/1/00/132/018	EMEA/H/C/000329	120 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (120 μg/0.5 ml)	4 vials + 4 ampoules	ViraferonPeg
EU/1/00/132/019	EMEA/H/C/000329	120 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (120 μg/0.5 ml)	4 vials + 4 ampoules + 4 injection sets	ViraferonPeg
EU/1/00/132/020	EMEA/H/C/000329	120 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (120 μg/0.5 ml)	6 vials + 6 ampoules	ViraferonPeg
EU/1/00/132/021	EMEA/H/C/000329	150 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (150 μg/0.5 ml)	1 vial + 1 ampoule	ViraferonPeg
EU/1/00/132/022	EMEA/H/C/000329	150 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (150 μg/0.5 ml)	1 vial + 1 ampoule + 1 injection set	ViraferonPeg
EU/1/00/132/023	EMEA/H/C/000329	150 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (150 μg/0.5 ml)	4 vials + 4 ampoules	ViraferonPeg
EU/1/00/132/024	EMEA/H/C/000329	150 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (150 μg/0.5 ml)	4 vials + 4 ampoules + 4 injection sets	ViraferonPeg
EU/1/00/132/025	EMEA/H/C/000329	150 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (150 μg/0.5 ml)	6 vials + 6 ampoules	ViraferonPeg
EU/1/00/132/026	EMEA/H/C/000329	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	12 vials + 12 ampoules + 12 injection sets	ViraferonPeg
EU/1/00/132/027	EMEA/H/C/000329	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	12 vials + 12 ampoules + 12 injection sets	ViraferonPeg
