ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/06/368/001	EMEA/H/C/000761	40 IU/ml	Solution for injection	Subcutaneous or intravenous use	vial (glass)	10 ml	1 vial	Insulin Human Winthrop Rapid
EU/1/06/368/002	EMEA/H/C/000761	40 IU/ml	Solution for injection	Subcutaneous or intravenous use	vial (glass)	10 ml	5 vials	Insulin Human Winthrop Rapid
EU/1/06/368/003	EMEA/H/C/000761	40 IU/ml	Suspension for injection	Subcutaneous use	vial (glass)	10 ml	1 vial	Insulin Human Winthrop Basal
EU/1/06/368/004	EMEA/H/C/000761	40 IU/ml	Suspension for injection	Subcutaneous use	vial (glass)	10 ml	5 vials	Insulin Human Winthrop Basal
EU/1/06/368/005	EMEA/H/C/000761	40 IU/ml	Suspension for injection	Subcutaneous use	vial (glass)	10 ml	1 vial	Insulin Human Winthrop Comb 15
EU/1/06/368/006	EMEA/H/C/000761	40 IU/ml	Suspension for injection	Subcutaneous use	vial (glass)	10 ml	5 vials	Insulin Human Winthrop Comb 15
EU/1/06/368/007	EMEA/H/C/000761	40 IU/ml	Suspension for injection	Subcutaneous use	vial (glass)	10 ml	1 vial	Insulin Human Winthrop Comb 25
EU/1/06/368/008	EMEA/H/C/000761	40 IU/ml	Suspension for injection	Subcutaneous use	vial (glass)	10 ml	5 vials	Insulin Human Winthrop Comb 25
EU/1/06/368/009	EMEA/H/C/000761	40 IU/ml	Suspension for injection	Subcutaneous use	vial (glass)	10 ml	1 vial	Insulin Human Winthrop Comb 50
EU/1/06/368/010	EMEA/H/C/000761	40 IU/ml	Suspension for injection	Subcutaneous use	vial (glass)	10 ml	5 vials	Insulin Human Winthrop Comb 50
EU/1/06/368/011	EMEA/H/C/000761	100 IU/ml	Solution for injection	Subcutaneous or intravenous use	vial (glass)	5 ml	1 vial	Insulin Human Winthrop Rapid
EU/1/06/368/012	EMEA/H/C/000761	100 IU/ml	Solution for injection	Subcutaneous or intravenous use	vial (glass)	5 ml	5 vials	Insulin Human Winthrop Rapid
