ma_number	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/02/206/001	40163947	0.5 ML fondaparinux sodium 5 MG/ML Prefilled Syringe [Arixtra]	861362	EXACT			2025-12-04
EU/1/02/206/002	40163947	0.5 ML fondaparinux sodium 5 MG/ML Prefilled Syringe [Arixtra]	861362	EXACT			2025-12-04
EU/1/02/206/003	40163947	0.5 ML fondaparinux sodium 5 MG/ML Prefilled Syringe [Arixtra]	861362	EXACT			2025-12-04
EU/1/02/206/004	40163947	0.5 ML fondaparinux sodium 5 MG/ML Prefilled Syringe [Arixtra]	861362	EXACT			2025-12-04
EU/1/02/206/005	21039509	0.3 ML fondaparinux 5 MG/ML Prefilled Syringe	OMOP285833	EXACT		0.3 ML fondaparinux sodium 5 MG/ML Prefilled Syringe	2025-12-04
EU/1/02/206/006	21039509	0.3 ML fondaparinux 5 MG/ML Prefilled Syringe	OMOP285833	EXACT		0.3 ML fondaparinux sodium 5 MG/ML Prefilled Syringe	2025-12-04
EU/1/02/206/007	21039509	0.3 ML fondaparinux 5 MG/ML Prefilled Syringe	OMOP285833	EXACT		0.3 ML fondaparinux sodium 5 MG/ML Prefilled Syringe	2025-12-04
EU/1/02/206/008	21039509	0.3 ML fondaparinux 5 MG/ML Prefilled Syringe	OMOP285833	EXACT		0.3 ML fondaparinux sodium 5 MG/ML Prefilled Syringe	2025-12-04
EU/1/02/206/009	40163945	0.4 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861364	EXACT			2025-12-04
EU/1/02/206/010	40163945	0.4 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861364	EXACT			2025-12-04
EU/1/02/206/011	40163945	0.4 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861364	EXACT			2025-12-04
EU/1/02/206/012	40163976	0.6 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861366	EXACT			2025-12-04
EU/1/02/206/013	40163976	0.6 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861366	EXACT			2025-12-04
EU/1/02/206/014	40163976	0.6 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861366	EXACT			2025-12-04
EU/1/02/206/015	40163991	0.8 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861358	EXACT			2025-12-04
EU/1/02/206/016	40163991	0.8 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861358	EXACT			2025-12-04
EU/1/02/206/017	40163991	0.8 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861358	EXACT			2025-12-04
EU/1/02/206/018	40163945	0.4 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861364	EXACT			2025-12-04
EU/1/02/206/019	40163976	0.6 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861366	EXACT			2025-12-04
EU/1/02/206/020	40163991	0.8 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861358	EXACT			2025-12-04
EU/1/02/206/021	40163947	0.5 ML fondaparinux sodium 5 MG/ML Prefilled Syringe [Arixtra]	861362	EXACT			2025-12-04
EU/1/02/206/022	40163947	0.5 ML fondaparinux sodium 5 MG/ML Prefilled Syringe [Arixtra]	861362	EXACT			2025-12-04
EU/1/02/206/023	40163947	0.5 ML fondaparinux sodium 5 MG/ML Prefilled Syringe [Arixtra]	861362	EXACT			2025-12-04
EU/1/02/206/024	21039509	0.3 ML fondaparinux 5 MG/ML Prefilled Syringe	OMOP285833	EXACT		0.3 ML fondaparinux sodium 5 MG/ML Prefilled Syringe	2025-12-04
EU/1/02/206/025	21039509	0.3 ML fondaparinux 5 MG/ML Prefilled Syringe	OMOP285833	EXACT		0.3 ML fondaparinux sodium 5 MG/ML Prefilled Syringe	2025-12-04
EU/1/02/206/026	21039509	0.3 ML fondaparinux 5 MG/ML Prefilled Syringe	OMOP285833	EXACT		0.3 ML fondaparinux sodium 5 MG/ML Prefilled Syringe	2025-12-04
EU/1/02/206/027	40163945	0.4 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861364	EXACT			2025-12-04
EU/1/02/206/028	40163945	0.4 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861364	EXACT			2025-12-04
EU/1/02/206/029	40163976	0.6 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861366	EXACT			2025-12-04
EU/1/02/206/030	40163976	0.6 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861366	EXACT			2025-12-04
EU/1/02/206/031	40163991	0.8 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861358	EXACT			2025-12-04
EU/1/02/206/032	40163991	0.8 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861358	EXACT			2025-12-04
EU/1/02/206/033	40163945	0.4 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861364	EXACT			2025-12-04
EU/1/02/206/034	40163976	0.6 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861366	EXACT			2025-12-04
EU/1/02/206/035	40163991	0.8 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]	861358	EXACT			2025-12-04
