ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/25/1927/001	006138	10 mg/g	Cream	Cutaneous use	tube (alu)	10 g	1 tube	Winlevi
EU/1/25/1927/002	006138	10 mg/g	Cream	Cutaneous use	tube (alu)	30 g	1 tube	Winlevi
EU/1/25/1927/003	006138	10 mg/g	Cream	Cutaneous use	tube (alu)	60 g	1 tube	Winlevi
