ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/00/131/001	EMEA/H/C/000280	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	1 vial + 1 ampoule	PegIntron
EU/1/00/131/002	EMEA/H/C/000280	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	1 vial + 1 ampoule + 1 injection set	PegIntron
EU/1/00/131/003	EMEA/H/C/000280	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	4 vials + 4 ampoules	PegIntron
EU/1/00/131/004	EMEA/H/C/000280	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	4 vials + 4 ampoules + 4 injection sets	PegIntron
EU/1/00/131/005	EMEA/H/C/000280	50 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (50 μg/0.5 ml)	6 vials + 6 ampoules	PegIntron
EU/1/00/131/006	EMEA/H/C/000280	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	1 vial + 1 ampoule	PegIntron
EU/1/00/131/007	EMEA/H/C/000280	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	1 vial + 1 ampoule + 1 injection set	PegIntron
EU/1/00/131/008	EMEA/H/C/000280	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	4 vials + 4 ampoules	PegIntron
EU/1/00/131/009	EMEA/H/C/000280	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	4 vials + 4 ampoules + 4 injection sets	PegIntron
EU/1/00/131/010	EMEA/H/C/000280	80 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (80 μg/0.5 ml)	6 vials + 6 ampoules	PegIntron
EU/1/00/131/011	EMEA/H/C/000280	100 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (100 μg/0.5 ml)	1 vial + 1 ampoule	PegIntron
EU/1/00/131/012	EMEA/H/C/000280	100 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (100 μg/0.5 ml)	1 vial + 1 ampoule + 1 injection set	PegIntron
EU/1/00/131/013	EMEA/H/C/000280	100 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (100 μg/0.5 ml)	4 vials + 4 ampoules	PegIntron
EU/1/00/131/014	EMEA/H/C/000280	100 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (100 μg/0.5 ml)	4 vials + 4 ampoules + 4 injection sets	PegIntron
EU/1/00/131/015	EMEA/H/C/000280	100 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (100 μg/0.5 ml)	6 vials + 6 ampoules	PegIntron
EU/1/00/131/016	EMEA/H/C/000280	120 micrograms	Powder and solvent for solution for injection	Subcutaneous use	Powder: vial (glass) Solvent: ampoule (glass)	0.7 ml (120 μg/0.5 ml)	1 vial + 1 ampoule	PegIntron
