codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
038083010	038083	19125644	30 ML eculizumab 10 MG/ML Injection [Soliris]	700387	EXACT	auto-linked from EMA 000791		2026-06-12
050644018	050644	19125644	30 ML eculizumab 10 MG/ML Injection [Soliris]	700387	EXACT	auto-linked from EMA 000791		2026-06-12
050699014	050699	19125644	30 ML eculizumab 10 MG/ML Injection [Soliris]	700387	EXACT	auto-linked from EMA 000791		2026-06-12
